NO;FIRMCOST;ASSUME;CAP;SIZELOG;INDCOST;CENTRAL;SOPH
1;0.0329;0.289999992;1;9.550000191;0.319999993;1;25
2;0.093100004;0.889999986;0;8.039999962;0.330000013;2;24
3;0.040700002;1.669999957;0;7.900000095;0.340000004;2;15
4;0.069400001;1.210000038;0;8.100000381;0.340000004;1;16
5;0.053499999;0.280000001;0;7.739999771;0.090000004;3;18
6;0.288600006;14.85999966;1;8.159999847;0.419999987;3;25
7;0.0279;0.850000024;0;9.470000267;0.409999996;1;11
8;0.15;1.470000029;0;8.130000114;0.319999993;1;22
9;0.038900001;3.470000029;0;7.5;0.529999971;2;18
10;0.040700002;5.860000134;0;8.550000191;1.220000029;1;27
11;0.043400002;0.389999986;0;8.079999924;0.25999999;5;26
12;0.043299999;2.079999924;1;8.010000229;0.340000004;4;11
13;0.0529;1.139999986;0;7.590000153;0.419999987;3;20
14;0.079000001;0.239999995;0;8.520000458;0.330000013;2;22
15;0.975500031;0.180000007;1;9.31000042;0.620000005;2;17
16;0.65;1.269999981;1;6.679999828;1.220000029;2;26
17;0.085100002;0.230000004;0;8.390000343;0.629999995;2;23
18;0.043099999;0.5;0;8.859999657;0.419999987;1;19
19;0.124499998;1.019999981;0;8.300000191;0.319999993;1;11
20;0.0255;0.439999998;0;10.11999989;0.340000004;1;17
21;0.081800003;3.859999895;0;7;0.419999987;3;30
22;0.1129;2.980000019;0;7.650000095;0.340000004;1;24
23;0.0125;0.01;0;8.520000458;0.409999996;5;24
24;0.119200001;1.679999948;0;6.289999962;0.340000004;1;25
25;0.0065;0.090000004;0;8.699999809;0.100000001;2;23
26;0.031500001;0.209999993;1;8.590000153;0.5;2;19
27;0.193799992;0.340000004;1;7.380000114;0.330000013;1;27
28;0.0375;3.279999971;0;8.069999695;0.330000013;2;23
29;0.133299999;0.829999983;0;8.010000229;0.529999971;2;18
30;0.045799999;0.439999998;1;8.479999542;0.340000004;3;18
31;0.1396;0.02;1;8.489999771;0.5;3;29
32;0.0028;0;0;9.859999657;0.100000001;1;5
33;0.060799999;0.5;1;7.599999905;0.330000013;3;22
34;0.0094;0.01;1;8.159999847;0.330000013;1;18
35;0.0297;0.170000002;0;7.449999809;0.100000001;3;25
36;0.041100001;0.170000002;1;8.409999847;0.330000013;4;25
37;0.0122;0.5;1;10.60000038;0.340000004;1;13
38;0.0629;0.01;0;9.039999962;0.860000014;2;20
39;0.061199999;0.050000001;1;8.260000229;0.330000013;4;23
40;0.0351;0.330000013;0;9.149999619;0.319999993;1;27
41;0.021600001;0.899999976;1;8.960000038;0.340000004;2;19
42;0.0036;0.07;0;9.949999809;0.340000004;4;22
43;0.078299999;1.669999957;0;8.010000229;0.25999999;2;25
44;0.050900002;0.5;0;7;0.330000013;4;26
45;0.002;0.07;1;10.27000046;0.100000001;1;25
46;0.088500004;1.350000024;0;8.270000458;0.330000013;1;24
47;0.0076;0.02;0;10.02000046;0.5;3;19
48;0.0571;1.529999971;0;8.159999847;0.25999999;3;24
49;0.175300007;0.129999995;0;7.309999943;0.860000014;1;18
50;0.14;0.629999995;0;8.989999771;0.330000013;4;23
51;0.020599999;0.330000013;1;9.100000381;0.330000013;1;24
52;0.0093;0.790000021;1;9.550000191;0.340000004;2;28
53;0.1;0.709999979;0;8.159999847;0.5;1;27
54;0.058200002;0.289999992;1;8.550000191;0.5;2;9
55;0.091300001;2.5;0;8.289999962;0.319999993;5;31
56;0.09;2.029999971;0;7.599999905;0.5;4;24
57;0.126099997;61.81999969;1;7.420000076;0.620000005;1;24
58;0.021500001;0.129999995;0;9.010000229;0.319999993;4;23
59;0.222199993;0.419999987;0;7.5;0.330000013;1;18
60;0.1271;3.420000076;0;7.090000153;0.319999993;2;27
61;0.159700003;0.790000021;0;8.949999809;0.620000005;3;28
62;0.043200002;1.899999976;0;8.579999924;0.319999993;3;27
63;0.084899998;0.289999992;0;8.579999924;0.319999993;1;15
64;0.0525;6.460000038;1;8.289999962;0.419999987;1;11
65;0.183299999;0.289999992;0;8.699999809;0.860000014;1;25
66;0.217199993;0.920000017;0;7.5;0.409999996;4;18
67;0.004;0;1;10.35999966;0.409999996;5;21
68;0.037;0.430000007;1;8.170000076;0.340000004;1;17
69;0.15;2.920000076;0;7.5;0.340000004;1;14
70;0.18;2.299999952;1;9.210000038;0.860000014;3;18
71;0.291200008;0.790000021;0;7.960000038;0.330000013;1;19
72;0.793000031;0.50999999;0;5.269999981;0.319999993;4;23
73;0.135699997;37.13999939;1;7.239999771;0.860000014;3;20
